Date,Open,High,Low,Close,Adj Close,Volume
2019-12-01,61.820000,65.379997,61.209999,63.369999,61.784687,22492100
2020-01-01,63.860001,64.190002,56.939999,57.279999,55.847042,34022500
2020-02-01,57.209999,60.330002,53.360001,54.849998,53.477829,30583500
2020-03-01,53.740002,55.349998,29.500000,38.459999,37.497856,108451000
2020-04-01,36.540001,44.919998,33.860001,43.349998,42.265522,58633700
2020-05-01,42.250000,42.320000,35.650002,41.830002,40.783550,77455600
2020-06-01,42.459999,47.650002,40.610001,45.459999,44.322739,54286500
2020-07-01,46.189999,52.150002,45.619999,46.750000,45.580467,44653400
2020-08-01,45.709999,51.270000,45.400002,49.599998,48.359165,29340000
2020-09-01,50.750000,51.919998,46.619999,49.959999,48.710163,25017000
2020-10-01,51.049999,60.380001,51.000000,57.439999,56.003036,33756800
2020-11-01,57.970001,70.000000,57.919998,69.000000,67.273842,31368100
2020-12-01,69.820000,72.440002,65.849998,72.260002,70.452293,28500000
2021-01-01,72.290001,76.120003,68.790001,72.099998,70.296295,29749900
2021-02-01,75.809998,84.699997,75.750000,79.139999,77.160172,27154800
2021-03-01,80.930000,84.000000,76.739998,77.690002,75.746452,32668100
2021-04-01,77.349998,78.139999,67.730003,70.279999,68.521820,40055600
2021-05-01,70.699997,77.169998,68.360001,76.529999,74.615471,27846100
2021-06-01,76.709999,77.620003,73.000000,73.120003,71.290779,24947400
2021-07-01,73.250000,75.239998,68.500000,70.570000,69.047012,26843000
2021-08-01,70.949997,79.389999,70.629997,78.309998,76.619980,27412900
2021-09-01,78.849998,79.169998,71.800003,73.089996,71.512627,38219600
2021-10-01,73.089996,78.430000,71.610001,71.910004,70.358101,35414800
2021-11-01,73.379997,73.980003,65.339996,65.470001,64.057083,32598800
2021-12-01,67.070000,68.400002,61.349998,65.070000,63.665714,30170500
2022-01-01,67.059998,72.199997,64.000000,68.629997,67.148880,33759800
2022-02-01,68.010002,70.160004,61.860001,62.169998,60.828297,28676200
2022-03-01,61.990002,63.560001,54.250000,61.330002,60.006428,55201000
2022-04-01,62.950001,70.680000,52.900002,55.209999,54.018501,53903100
2022-05-01,55.630001,59.110001,50.610001,57.570000,56.327572,51780900
2022-06-01,58.150002,58.980000,51.040001,54.959999,54.389359,42639700
2022-07-01,54.689999,63.110001,53.650002,62.799999,62.147957,30561700
2022-08-01,62.270000,66.480003,60.400002,61.049999,60.416126,25215800
2022-09-01,61.029999,67.879997,56.099998,58.419998,57.813435,36059000
2022-10-01,58.139999,62.570000,55.220001,62.310001,61.663048,28933000
2022-11-01,63.509998,70.769997,60.980000,70.570000,69.837280,26700500
2022-12-01,70.449997,70.680000,66.230003,68.410004,67.699715,24175000
2023-01-01,69.290001,71.760002,64.769997,67.360001,66.660614,28374500
2023-02-01,67.650002,69.900002,64.449997,67.639999,66.937706,25147000
2023-03-01,67.629997,68.809998,61.049999,66.669998,65.977776,35421400
2023-04-01,66.599998,71.300003,66.080002,69.800003,69.075279,25152700
2023-05-01,69.510002,71.010002,63.770000,64.400002,63.731346,44079600
2023-06-01,64.540001,70.269997,62.869999,69.699997,69.699997,34487100
2023-07-01,70.550003,71.389999,65.480003,68.279999,68.279999,43826700
2023-08-01,68.370003,68.370003,62.279999,62.310001,62.310001,35528200
2023-09-01,63.150002,66.209999,57.950001,59.009998,59.009998,52521200
2023-10-01,59.099998,59.799999,56.049999,56.549999,56.549999,47594300
2023-11-01,56.750000,60.820000,55.950001,60.040001,60.040001,38997400
2023-12-01,59.500000,67.440002,59.270000,67.110001,67.110001,46008800
2024-01-01,66.440002,67.139999,53.470001,56.430000,56.430000,86776600
