,Date,Open,High,Low,Close,Adj Close,Volume
df_8,2000-01-29,1360.1600341796875,1435.9100341796875,1350.1400146484375,1424.3699951171875,1424.3699951171875,5205000000
df_8,2000-02-05,1424.3699951171875,1444.550048828125,1378.8900146484375,1387.1199951171875,1387.1199951171875,5100800000
df_8,2000-02-12,1387.1199951171875,1407.719970703125,1345.3199462890625,1346.0899658203125,1346.0899658203125,5115300000
df_8,2000-02-19,1346.0899658203125,1370.1099853515625,1329.1500244140625,1333.3599853515625,1333.3599853515625,4253900000
df_8,2000-02-26,1333.3599853515625,1410.8800048828125,1325.0699462890625,1409.1700439453125,1409.1700439453125,5853800000
df_8,2000-03-04,1409.1700439453125,1413.4599609375,1346.6199951171875,1395.0699462890625,1395.0699462890625,5807900000
df_8,2000-03-11,1395.0699462890625,1477.3299560546875,1356.989990234375,1464.469970703125,1464.469970703125,6190300000
df_8,2000-03-18,1464.469970703125,1552.8699951171875,1446.06005859375,1527.4599609375,1527.4599609375,5192200000
df_8,2000-03-25,1527.4599609375,1534.6300048828125,1474.6300048828125,1498.5799560546875,1498.5799560546875,5342800000
df_8,2000-04-01,1498.5799560546875,1526.449951171875,1416.4100341796875,1516.3499755859375,1516.3499755859375,5547060000
df_8,2000-04-08,1516.3499755859375,1527.18994140625,1339.4000244140625,1356.56005859375,1356.56005859375,5312700000
df_8,2000-04-15,1356.56005859375,1447.68994140625,1346.5,1434.5400390625,1434.5400390625,4211700000
df_8,2000-04-22,1434.5400390625,1482.93994140625,1407.1300048828125,1452.4300537109375,1452.4300537109375,5035000000
df_8,2000-04-29,1452.4300537109375,1481.510009765625,1398.3599853515625,1432.6300048828125,1432.6300048828125,4700700000
df_8,2000-05-06,1432.6300048828125,1432.6300048828125,1375.1400146484375,1420.9599609375,1420.9599609375,4502400000
df_8,2000-05-13,1420.9599609375,1470.4000244140625,1401.739990234375,1406.949951171875,1406.949951171875,4292200000
df_8,2000-05-20,1406.949951171875,1411.6500244140625,1361.0899658203125,1378.02001953125,1378.02001953125,4598300000
df_8,2000-05-27,1378.02001953125,1483.22998046875,1378.02001953125,1477.260009765625,1477.260009765625,3927200000
df_8,2000-06-03,1477.260009765625,1477.280029296875,1454.739990234375,1456.949951171875,1456.949951171875,4283600000
df_8,2000-06-10,1456.949951171875,1483.6199951171875,1442.3800048828125,1464.4599609375,1464.4599609375,4901900000
df_8,2000-06-17,1464.4599609375,1488.9300537109375,1438.31005859375,1441.47998046875,1441.47998046875,4833100000
df_8,2000-06-24,1441.47998046875,1467.6300048828125,1434.6300048828125,1454.5999755859375,1454.5999755859375,5597200000
df_8,2000-07-01,1454.5999755859375,1484.1199951171875,1439.56005859375,1478.9000244140625,1478.9000244140625,3350200000
df_8,2000-07-08,1478.9000244140625,1509.989990234375,1470.47998046875,1509.97998046875,1509.97998046875,4807800000
df_8,2000-07-15,1509.97998046875,1517.3199462890625,1477.9100341796875,1480.18994140625,1480.18994140625,4756600000
df_8,2000-07-22,1480.18994140625,1485.8800048828125,1413.8900146484375,1419.8900146484375,1419.8900146484375,5221900000
df_8,2000-07-29,1419.8900146484375,1462.9300537109375,1418.7099609375,1462.9300537109375,1462.9300537109375,4937400000
df_8,2000-08-05,1462.9300537109375,1490.3299560546875,1453.06005859375,1471.8399658203125,1471.8399658203125,4677300000
df_8,2000-08-12,1471.8399658203125,1499.469970703125,1468.56005859375,1491.719970703125,1491.719970703125,4353300000
df_8,2000-08-19,1491.719970703125,1513.469970703125,1489.52001953125,1506.449951171875,1506.449951171875,3944100000
df_8,2000-08-26,1506.449951171875,1530.0899658203125,1500.0899658203125,1520.77001953125,1520.77001953125,4171900000
df_8,2000-09-02,1520.77001953125,1520.77001953125,1489.8800048828125,1494.5,1494.5,3780100000
df_8,2000-09-09,1494.5,1506.760009765625,1460.219970703125,1465.81005859375,1465.81005859375,5241200000
df_8,2000-09-16,1465.81005859375,1467.77001953125,1421.8800048828125,1448.719970703125,1448.719970703125,5382300000
df_8,2000-09-23,1448.719970703125,1461.68994140625,1419.43994140625,1436.510009765625,1436.510009765625,5667000000
df_8,2000-09-30,1436.52001953125,1454.8199462890625,1397.06005859375,1408.989990234375,1408.989990234375,5642900000
df_8,2000-10-07,1408.989990234375,1409.68994140625,1327.0799560546875,1374.1700439453125,1374.1700439453125,5760600000
df_8,2000-10-14,1374.1700439453125,1408.469970703125,1305.7900390625,1396.9300537109375,1396.9300537109375,6083900000
df_8,2000-10-21,1396.9300537109375,1415.6400146484375,1337.81005859375,1379.5799560546875,1379.5799560546875,5911100000
df_8,2000-10-28,1379.5799560546875,1433.4000244140625,1376.8599853515625,1426.68994140625,1426.68994140625,5925100000
df_8,2000-11-04,1428.760009765625,1438.4599609375,1365.969970703125,1365.97998046875,1365.97998046875,4794600000
df_8,2000-11-11,1365.97998046875,1395.9599609375,1328.6199951171875,1367.719970703125,1367.719970703125,5341600000
df_8,2000-11-18,1367.719970703125,1367.719970703125,1321.8900146484375,1341.77001953125,1341.77001953125,3460970000
df_8,2000-11-25,1341.77001953125,1362.5,1294.9000244140625,1315.22998046875,1315.22998046875,4758130000
df_8,2000-12-02,1315.1800537109375,1380.3299560546875,1310.22998046875,1369.8900146484375,1369.8900146484375,5888900000
df_8,2000-12-09,1369.8900146484375,1389.050048828125,1305.3800048828125,1312.1500244140625,1312.1500244140625,6103300000
df_8,2000-12-16,1312.1500244140625,1346.43994140625,1254.0699462890625,1305.949951171875,1305.949951171875,6473400000
df_8,2000-12-23,1305.969970703125,1340.0999755859375,1301.6400146484375,1320.280029296875,1320.280029296875,3950000000
df_9,2004-01-01,1111.9200439453125,1126.3299560546875,1105.0799560546875,1126.3299560546875,1126.3299560546875,5930800000
df_9,2004-01-08,1126.3299560546875,1131.9200439453125,1115.18994140625,1130.52001953125,1130.52001953125,8209800000
df_9,2004-01-15,1130.52001953125,1149.2099609375,1124.5400390625,1147.6199951171875,1147.6199951171875,6871900000
df_9,2004-01-22,1147.6199951171875,1155.3800048828125,1126.5,1128.47998046875,1128.47998046875,8250600000
df_9,2004-01-29,1128.47998046875,1142.449951171875,1122.3800048828125,1126.52001953125,1126.52001953125,8267800000
df_9,2004-02-05,1126.52001953125,1158.8900146484375,1124.43994140625,1157.760009765625,1157.760009765625,7450900000
df_9,2004-02-12,1157.760009765625,1158.97998046875,1143.239990234375,1151.8199462890625,1151.8199462890625,5572400000
df_9,2004-02-19,1151.8199462890625,1158.5699462890625,1134.4300537109375,1143.6700439453125,1143.6700439453125,7327100000
df_9,2004-02-26,1143.6700439453125,1157.449951171875,1138.6199951171875,1151.030029296875,1151.030029296875,7231900000
df_9,2004-03-04,1151.030029296875,1163.22998046875,1122.530029296875,1123.8900146484375,1123.8900146484375,7066200000
df_9,2004-03-11,1123.8900146484375,1125.9599609375,1102.6099853515625,1123.75,1123.75,7869800000
df_9,2004-03-18,1123.75,1125.5,1087.1600341796875,1091.3299560546875,1091.3299560546875,7264900000
df_9,2004-03-25,1091.3299560546875,1130.8299560546875,1091.3299560546875,1126.2099609375,1126.2099609375,7089400000
df_9,2004-04-01,1126.2099609375,1150.5699462890625,1126.199951171875,1140.530029296875,1140.530029296875,7460100000
df_9,2004-04-08,1140.530029296875,1148.969970703125,1122.1500244140625,1128.1700439453125,1128.1700439453125,5273100000
df_9,2004-04-15,1128.1700439453125,1139.260009765625,1116.030029296875,1124.0899658203125,1124.0899658203125,7498000000
df_9,2004-04-22,1124.0899658203125,1146.56005859375,1121.699951171875,1122.4100341796875,1122.4100341796875,7887000000
df_9,2004-04-29,1122.4100341796875,1128.800048828125,1107.22998046875,1121.530029296875,1121.530029296875,8196400000
df_9,2004-05-06,1121.530029296875,1121.530029296875,1076.3199462890625,1097.280029296875,1097.280029296875,8312700000
df_9,2004-05-13,1097.280029296875,1105.9300537109375,1079.3599853515625,1088.6800537109375,1088.6800537109375,7078700000
df_9,2004-05-20,1088.6800537109375,1116.7099609375,1085.4300537109375,1114.93994140625,1114.93994140625,6612200000
df_9,2004-05-27,1114.93994140625,1128.0999755859375,1113.3199462890625,1124.989990234375,1124.989990234375,5109800000
